no,expected_raw,expected_fixed,category,handler,applied_to_scoring,evidence_kind,evidence
202,인천광역시 강화군 서도면 볼음도리 산105-1,인천광역시 강화군 서도면 볼음도리 산105-1,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산105-1' / 출력 '105-1' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
252,전북특별자치도 익산시 용동면 화실리274,전북특별자치도 익산시 용동면 화실리 274,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '2…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
257,충청남도 논산시 은진면 연서리450,충청남도 논산시 은진면 연서리 450,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '4…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
259,충청남도 부여군 임천면 가신리379,충청남도 부여군 임천면 가신리 379,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '3…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
283,충청남도 아산시 인주면 공세리 26-3,,C-2,deferred,0,none,보류: 왕복 축 기준선에서 이미 통과하여 이 행의 기대값 표기는 채점 결과를 바꾸지 않는다. 역지오 축 불일치의 원인을 우리 출력으로 판정할 수 없으므로 정정하지 않는다. 독립 좌표원(우리 순방향을 거치지 않은 제3자 자료) 확보 후 재판단.
307,충청남도 아산시 영인면 상성리 산61,충청남도 아산시 영인면 상성리 산61,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산61' / 출력 '61' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
311,충청남도 아산시 영인면 아산리228-6,충청남도 아산시 영인면 아산리 228-6,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '2…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
312,충청남도 아산시 영인면 아산리230-11,충청남도 아산시 영인면 아산리 230-11,A,rule,0,grammar,법정동 접미사 '리' 와 번지 '2…' 사이 공백 누락. 지번 표기는 법정동명과 번지를 분리한다. 규칙 A 가 기대값·출력 양쪽에 대칭 적용.
323,충청남도 아산시 염치읍 산양리 산101,충청남도 아산시 염치읍 산양리 산101,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산101' / 출력 '101' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
331,강원특별자치도 인제군 기린면 방동리 산282-1,강원특별자치도 인제군 기린면 방동리 산282-1,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산282-1' / 출력 '282-1' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
333,강원특별자치도 인제군 남면 남전리 산226-48,강원특별자치도 인제군 남면 남전리 산226-48,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산226-48' / 출력 '226-48' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
334,강원특별자치도 인제군 기린면 방동리 산282-1  산,강원특별자치도 인제군 기린면 방동리 산282-1,C-3,table,1,string-defect,꼬리에 번지를 동반하지 않은 고아 토큰 '산' 과 이중 공백. 앞부분 '산282-1' 이 이미 완결된 지번이고 하나의 지번에 산 접두가 둘일 수 없다. 문자열 자체만으로 판정하며 외부 자료를 쓰지 않는다. 규칙이 아니라 정정표가 담당한다.
336,강원특별자치도 인제군 서화면 서흥리 산169-8,강원특별자치도 인제군 서화면 서흥리 산169-8,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산169-8' / 출력 '169-8' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
339,강원특별자치도 인제군 기린면 현리 산309,강원특별자치도 인제군 기린면 현리 산309,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산309' / 출력 '309' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
342,강원특별자치도 인제군 인제읍 가리산리 1,,C-2,deferred,0,none,보류: 왕복 축 기준선에서 이미 통과하여 이 행의 기대값 표기는 채점 결과를 바꾸지 않는다. 역지오 축 불일치의 원인을 우리 출력으로 판정할 수 없으므로 정정하지 않는다. 독립 좌표원(우리 순방향을 거치지 않은 제3자 자료) 확보 후 재판단.
343,강원특별자치도 인제군 인제읍 가아리 1-0,강원특별자치도 인제군 인제읍 가아리 1,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('1-0' → '1'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가] 다만 '-0' 정정 후에도 '산' 유무 차이가 남아 이 행은 잔여 불일치로 계상된다."
345,강원특별자치도 인제군 상남면 상남리 261,,C-2,deferred,0,none,"보류: 기대값은 일반번지, 우리 출력은 산번지로 '산' 유무가 다르다. 규칙으로 같게 만들면 최상위 불변식(산번지≠일반번지)이 붕괴한다. 어느 쪽이 옳은지는 우리 출력·우리 DB 로 판정할 수 없다. 독립 좌표원 확보 후 재판단."
348,강원특별자치도 홍천군 화촌면 야시대리 1-1,,C-2,deferred,0,none,"보류: 기대값은 일반번지, 우리 출력은 산번지로 '산' 유무가 다르다. 규칙으로 같게 만들면 최상위 불변식(산번지≠일반번지)이 붕괴한다. 어느 쪽이 옳은지는 우리 출력·우리 DB 로 판정할 수 없다. 독립 좌표원 확보 후 재판단."
350,강원특별자치도 춘천시 사북면 원평리 산115-1,강원특별자치도 춘천시 사북면 원평리 산115-1,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산115-1' / 출력 '115-1' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
351,강원특별자치도 춘천시 사북면 원평리 산115-1,강원특별자치도 춘천시 사북면 원평리 산115-1,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산115-1' / 출력 '115-1' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
352,경상북도 봉화군 석포면 석포리 1-1,,C-2,deferred,0,none,"보류: 기대값은 일반번지, 우리 출력은 산번지로 '산' 유무가 다르다. 규칙으로 같게 만들면 최상위 불변식(산번지≠일반번지)이 붕괴한다. 어느 쪽이 옳은지는 우리 출력·우리 DB 로 판정할 수 없다. 독립 좌표원 확보 후 재판단."
353,경상북도 봉화군 석포면 석포리 1-1,,C-2,deferred,0,none,"보류: 기대값은 일반번지, 우리 출력은 산번지로 '산' 유무가 다르다. 규칙으로 같게 만들면 최상위 불변식(산번지≠일반번지)이 붕괴한다. 어느 쪽이 옳은지는 우리 출력·우리 DB 로 판정할 수 없다. 독립 좌표원 확보 후 재판단."
354,경상북도 봉화군 소천면 현동리 산2,경상북도 봉화군 소천면 현동리 산2,C-1,rule,0,grammar,'산' 접두와 번지 사이 공백 유무 차이(기대 '산2' / 출력 '2' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일).
355,경상북도 봉화군 소천면 고선리 산17,경상북도 봉화군 소천면 고선리 산17,C-1,rule,0,grammar,"'산' 접두와 번지 사이 공백 유무 차이(기대 '산17' / 출력 '17' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일). 계획 §3.4 는 이 행을 E(로직)로 분류했으나, 왕복 축에서 기대·출력이 공백 1개만 다름을 문자열 대조로 확인했다 — 축 차이이며 로직 오류가 아니다."
356,경상북도 봉화군 봉화읍 화천리 산1-1,경상북도 봉화군 봉화읍 화천리 산1-1,C-1,rule,0,grammar,"'산' 접두와 번지 사이 공백 유무 차이(기대 '산1-1' / 출력 '1-1' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일). 계획 §3.4 는 이 행을 E(로직)로 분류했으나, 왕복 축에서 기대·출력이 공백 1개만 다름을 문자열 대조로 확인했다 — 축 차이이며 로직 오류가 아니다."
358,경상북도 봉화군 춘양면 산103-3,,C-4,deferred,0,unique,"보류: 기대값에 리(里)명이 없다('춘양면' 다음 바로 번지). 리명 확정 경로는 행안부 법정동코드 전체자료 원본 TSV → lawd_code(53,387행) → build_ri_dict_from_lawd_code.sql → lawd_ri 이며, 적재 스크립트 load_lawd_code.py 는 이 브랜치에 없고 .worktrees/geocode-none-fix/scripts/postgis/ 에만 존재한다. 이번 실행 환경은 Docker 미가동으로 이 경로를 재현할 수 없어 정정을 보류한다."
365,경상북도 의성군 단촌면 구계리 617-0,경상북도 의성군 단촌면 구계리 617,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('617-0' → '617'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
384,경상북도 의성군 사곡면 음지리 산65-1,경상북도 의성군 사곡면 음지리 산65-1,C-1,rule,0,grammar,"'산' 접두와 번지 사이 공백 유무 차이(기대 '산65-1' / 출력 '65-1' 앞 '산'). 산 토큰은 양쪽에 보존되고 공백만 통일된다. 역지오 하네스는 이미 동일 정규화를 수행하고 있었다. 규칙 C-1 이 대칭 적용(정규형이 원문과 동일). 계획 §3.4 는 이 행을 E(로직)로 분류했으나, 왕복 축에서 기대·출력이 공백 1개만 다름을 문자열 대조로 확인했다 — 축 차이이며 로직 오류가 아니다."
392,경상북도 의성군 금성면 제오리 68-0,경상북도 의성군 금성면 제오리 68,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('68-0' → '68'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
396,경상북도 의성군 단촌면 구계리 611-0,경상북도 의성군 단촌면 구계리 611,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('611-0' → '611'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
399,경상북도 의성군 안평면 박곡리 379-0,경상북도 의성군 안평면 박곡리 379,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('379-0' → '379'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
417,경상북도 의성군 금성면 제오리 20-0,경상북도 의성군 금성면 제오리 20,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('20-0' → '20'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
422,경상북도 의성군 단촌면 병방리 781-0,경상북도 의성군 단촌면 병방리 781,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('781-0' → '781'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
433,경상북도 의성군 옥산면 오류리 456-0,경상북도 의성군 옥산면 오류리 456,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('456-0' → '456'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
440,경상북도 의성군 옥산면 신계리 642-0,경상북도 의성군 옥산면 신계리 642,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('642-0' → '642'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
443,경상북도 의성군 옥산면 입암리 635-0,경상북도 의성군 옥산면 입암리 635,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('635-0' → '635'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
448,경상북도 의성군 구천면 모흥리 432-0,경상북도 의성군 구천면 모흥리 432,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('432-0' → '432'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
452,경상북도 의성군 옥산면 오류리 568-0,경상북도 의성군 옥산면 오류리 568,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('568-0' → '568'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
455,경상북도 의성군 옥산면 감계리 134-0,경상북도 의성군 옥산면 감계리 134,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('134-0' → '134'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
456,경상북도 의성군 사곡면 공정리 1238-0,경상북도 의성군 사곡면 공정리 1238,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('1238-0' → '1238'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
458,경상북도 의성군 구천면 조성리 35-0,경상북도 의성군 구천면 조성리 35,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('35-0' → '35'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
461,경상북도 의성군 단촌면 구계리 431-0,경상북도 의성군 단촌면 구계리 431,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('431-0' → '431'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
463,경상북도 영주시 봉현면 두산리 851-0,경상북도 영주시 봉현면 두산리 851,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('851-0' → '851'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
473,경상북도 안동시 임하면 추목리 891-0,경상북도 안동시 임하면 추목리 891,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('891-0' → '891'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
478,경상북도 안동시 남선면 신석리 252-0,경상북도 안동시 남선면 신석리 252,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('252-0' → '252'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
483,경상북도 안동시 일직면 귀미리 21,,C-2,deferred,0,none,보류: 왕복 축 기준선에서 이미 통과하여 이 행의 기대값 표기는 채점 결과를 바꾸지 않는다. 역지오 축 불일치의 원인을 우리 출력으로 판정할 수 없으므로 정정하지 않는다. 독립 좌표원(우리 순방향을 거치지 않은 제3자 자료) 확보 후 재판단.
489,경상북도 안동시 북후면 물한리 89-0,경상북도 안동시 북후면 물한리 89,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('89-0' → '89'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
495,경상북도 안동시 일직면 귀미리 206-0,경상북도 안동시 일직면 귀미리 206,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('206-0' → '206'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
497,경상북도 안동시 일직면 구천리 137-0,경상북도 안동시 일직면 구천리 137,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('137-0' → '137'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
511,경상북도 안동시 남선면 구미리 243-0,경상북도 안동시 남선면 구미리 243,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('243-0' → '243'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
527,충청남도 당진시 순성면 나산리 338-0,충청남도 당진시 순성면 나산리 338,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('338-0' → '338'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
540,충청남도 당진시 합덕읍 석우리 1016-0,충청남도 당진시 합덕읍 석우리 1016,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('1016-0' → '1016'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
541,충청남도 당진시 합덕읍 도곡리 450-0,충청남도 당진시 합덕읍 도곡리 450,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('450-0' → '450'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
559,충청남도 천안시 동남구 광덕면 광덕리 742-0,충청남도 천안시 동남구 광덕면 광덕리 742,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('742-0' → '742'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
574,경기도 포천시 군내면 하성북리 45-0,경기도 포천시 군내면 하성북리 45,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('45-0' → '45'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
575,경기도 포천시 군내면 상성북리 377-0,경기도 포천시 군내면 상성북리 377,B,rule,0,db-absence-of-form,"부번 없는 지번에 '-0' 접미('377-0' → '377'). 지번 문법에 부번 0 은 없고 본번만인 경우 접미를 붙이지 않는다. 입력 계층 산출물로 판단. 규칙 B 가 대칭 적용. [parcel 에 '-0' 형태 0건이라는 DB 확증은 설계 검토 r1 §4 의 실측 인용이며, 이번 실행 환경에서는 Docker 미가동으로 재현 불가]"
